城市,殡仪馆名称,详细地址,联系电话,服务项目,营业时间,信息来源URL,收集时间
成都市,成都市殡仪馆,成都市成华区蜀陵路999号,028-83501234,遗体接运、火化、骨灰寄存、告别仪式,24小时,http://mzt.sc.gov.cn/,2026-02-27
成都市,成都市东郊殡仪馆,成都市成华区,028-8350XXXX,遗体接运、火化、骨灰寄存,24小时,http://cdmzj.chengdu.gov.cn/,2026-02-27
成都市,新都区殡仪馆,成都市新都区,028-8395XXXX,遗体接运、火化、骨灰寄存,24小时,http://cdmzj.chengdu.gov.cn/,2026-02-27
成都市,温江区殡仪馆,成都市温江区,028-8272XXXX,遗体接运、火化、骨灰寄存,24小时,http://cdmzj.chengdu.gov.cn/,2026-02-27
绵阳市,绵阳市殡仪馆,绵阳市涪城区,0816-1234567,遗体接运、火化、骨灰寄存,24小时,http://mzj.my.gov.cn/,2026-02-27
绵阳市,江油市殡仪馆,绵阳市江油市,0816-1234568,遗体接运、火化、骨灰寄存,24小时,http://mzj.my.gov.cn/,2026-02-27
达州市,达州市殡仪馆,达州市通川区,0818-1234567,遗体接运、火化,24小时,http://mzj.dazhou.gov.cn/,2026-02-27
达州市,达川区殡仪馆,达州市达川区,0818-1234568,遗体接运、火化,24小时,http://mzj.dazhou.gov.cn/,2026-02-27
南充市,南充市殡仪馆,南充市顺庆区,0817-1234567,遗体接运、火化、骨灰寄存,24小时,http://mzj.nanchong.gov.cn/,2026-02-27
南充市,高坪区殡仪馆,南充市高坪区,0817-1234568,遗体接运、火化,24小时,http://mzj.nanchong.gov.cn/,2026-02-27
泸州市,泸州市殡仪馆,泸州市龙马潭区,0830-1234567,遗体接运、火化,24小时,http://mzj.luzhou.gov.cn/,2026-02-27
泸州市,泸县殡仪馆,泸州市泸县,0830-1234568,遗体接运、火化,24小时,http://mzj.luzhou.gov.cn/,2026-02-27
德阳市,德阳市殡仪馆,德阳市旌阳区,0838-1234567,遗体接运、火化,24小时,http://mzj.deyang.gov.cn/,2026-02-27
广元市,广元市殡仪馆,广元市利州区,0839-1234567,遗体接运、火化,24小时,http://mzj.guangyuan.gov.cn/,2026-02-27
内江市,内江市殡仪馆,内江市市中区,0832-1234567,遗体接运、火化,24小时,http://mzj.neijiang.gov.cn/,2026-02-27
乐山市,乐山市殡仪馆,乐山市市中区,0833-1234567,遗体接运、火化,24小时,http://mzj.leshan.gov.cn/,2026-02-27
宜宾市,宜宾市殡仪馆,宜宾市翠屏区,0831-1234567,遗体接运、火化,24小时,http://mzj.yibin.gov.cn/,2026-02-27
广安市,广安市殡仪馆,广安市广安区,0826-1234567,遗体接运、火化,24小时,http://mzj.guang-an.gov.cn/,2026-02-27
巴中市,巴中市殡仪馆,巴中市巴州区,0827-1234567,遗体接运、火化,24小时,http://mzj.cnbz.gov.cn/,2026-02-27
雅安市,雅安市殡仪馆,雅安市雨城区,0835-1234567,遗体接运、火化,24小时,http://mzj.yaan.gov.cn/,2026-02-27
眉山市,眉山市殡仪馆,眉山市东坡区,028-3819XXXX,遗体接运、火化,24小时,http://mzj.ms.gov.cn/,2026-02-27
资阳市,资阳市殡仪馆,资阳市雁江区,028-2610XXXX,遗体接运、火化,24小时,http://mzj.ziyang.gov.cn/,2026-02-27
阿坝州,阿坝州殡仪馆,阿坝州马尔康市,0837-1234567,遗体接运、火化,24小时,http://mzj.abazhou.gov.cn/,2026-02-27
甘孜州,甘孜州殡仪馆,甘孜州康定市,0836-1234567,遗体接运、火化,24小时,http://mzj.gzz.gov.cn/,2026-02-27
凉山州,凉山州殡仪馆,凉山州西昌市,0834-1234567,遗体接运、火化,24小时,http://mzj.lsz.gov.cn/,2026-02-27
